player,pie,followers,salary
Trey Murphy III,0.091,15699,3206520
Ty Jerome,0.092,22915,4728948
Shake Milton,0.092,27774,1997718
Terance Mann,0.092,28654,1930681
Precious Achiuwa,0.092,32738,2840160
Saddiq Bey,0.092,11320,2959080
Robert Covington,0.093,108694,12307692
Stanley Johnson,0.093,57518,4022164
Paul Reed,0.093,33806,1782621
Isaiah Joe,0.093,23041,1836090
Talen Horton-Tucker,0.093,77664,10260000
Trendon Watford,0.094,20894,1563518
Santi Aldama,0.094,14186,2094120
Kelly Oubre Jr.,0.094,134987,12600000
Ricky Rubio,0.095,2829830,5853659
Jalen Johnson,0.095,23127,2792640
Jaylen Nowell,0.095,8994,1930681
Al Horford,0.095,376112,26500000
Jalen Green,0.095,197630,9441840
Kenrich Williams,0.096,2384,2000000
Keita Bates-Diop,0.096,10955,1878720
Collin Sexton,0.096,63249,16500000
Montrezl Harrell,0.096,169876,2463490
Cameron Payne,0.096,38206,6000000
Kelly Olynyk,0.096,77785,12804878
Rui Hachimura,0.096,237905,6263188
JaVale McGee,0.097,359234,5461219
Drew Eubanks,0.097,5809,1968175
Lonzo Ball,0.097,1322884,19534884
Austin Reaves,0.097,6816,1563518
Bones Hyland,0.097,61303,2201520
Anfernee Simons,0.097,41231,22321429
Jalen Smith,0.098,13435,4670160
Mike Conley,0.098,541309,22680000
JaMychal Green,0.099,0,8200000
Danilo Gallinari,0.099,696072,19479000
Derrick White,0.099,37144,16892857
Tari Eason,0.099,16064,3359160
Jerami Grant,0.099,55614,20955000
Monte Morris,0.1,23647,9125000
Mitchell Robinson,0.1,65962,17045454
Hamidou Diallo,0.1,67207,5200000
Gordon Hayward,0.1,645915,30075000
Jalen Williams,0.1,16378,4341480
Klay Thompson,0.1,1845333,40600080
Saben Lee,0.101,1920,2266640
Isaiah Jackson,0.101,16290,2573760
Buddy Hield,0.101,158793,21177750
Ben Simmons,0.101,1035943,35448672
Terry Rozier,0.101,183921,21486316
Josh Hart,0.101,581260,12960000
Jordan Poole,0.101,3470,3901399
Trey Lyles,0.102,103625,2625000
Xavier Tillman,0.102,23246,1782621
Mo Bamba,0.102,48695,10300000
Jordan Clarkson,0.102,527528,13340000
Draymond Green,0.102,2031458,25806468
John Wall,0.102,1894775,47345760
Cam Thomas,0.102,31075,2138160
Kemba Walker,0.103,449726,37281261
Michael Porter Jr.,0.103,288,30913750
Kenyon Martin Jr.,0.103,17346,1782621
Scottie Barnes,0.103,63901,7644600
Frank Kaminsky,0.104,205676,2463490
DeAndre Jordan,0.104,1137950,10733758
Jae Crowder,0.104,220794,10183800
Keldon Johnson,0.104,1191,3873024
Delon Wright,0.105,33780,7804878
Jock Landale,0.105,0,1563518
Dewayne Dedmon,0.106,17271,8283688
Tyrese Maxey,0.106,143749,2726880
Paolo Banchero,0.106,104541,11055120
Kyle Anderson,0.107,53585,8780488
Tre Jones,0.107,27890,1782621
James Wiseman,0.107,70840,9603360
Ivica Zubac,0.108,109633,10123457
Jarred Vanderbilt,0.108,101089,4374000
Tobias Harris,0.108,269708,37633050
Franz Wagner,0.108,13939,5258280
Alec Burks,0.109,52686,10012800
Onyeka Okongwu,0.109,32953,6395160
Devin Vassell,0.109,20239,4437000
Kyle Kuzma,0.109,1283149,13000000
Brook Lopez,0.109,1586,13906976
Cade Cunningham,0.109,104075,10552800
Zach Collins,0.11,29835,7350000
Cameron Johnson,0.11,121,5887899
Daniel Gafford,0.11,24580,1930681
Markelle Fultz,0.11,233801,16500000
Mikal Bridges,0.11,90666,20100000
Marvin Bagley III,0.111,94838,12500000
Cole Anthony,0.112,88457,3613680
Steven Adams,0.112,217484,17926829
Norman Powell,0.112,76463,16758621
Immanuel Quickley,0.112,100532,2316240
CJ McCollum,0.112,632670,33333333
Kevin Porter Jr.,0.112,71939,3217631
Chimezie Metu,0.113,11736,1910860
Russell Westbrook,0.113,6880160,47080179
Malik Monk,0.114,170392,9472219
Kevin Love,0.114,3166754,30556968
Spencer Dinwiddie,0.114,127084,19500000
Aaron Gordon,0.114,208644,19690909
Fred VanVleet,0.114,198418,21250000
Jalen Duren,0.114,11393,4124280
Larry Nance Jr.,0.115,330099,9672727
Moritz Wagner,0.116,59847,1878720
Bojan Bogdanović,0.116,298988,19550000
Bol Bol,0.117,93670,2200000
Chris Boucher,0.117,29860,12690000
Kevon Looney,0.117,96524,8000000
Nick Richards,0.118,44797,1782621
Tyus Jones,0.118,164935,15000000
Naz Reid,0.118,0,1930681
D'Angelo Russell,0.118,688696,31377750
Jamal Murray,0.119,321955,31650600
Tyler Herro,0.119,355268,5722116
Dejounte Murray,0.12,226955,16571120
Charles Bassey,0.121,6531,2674742
Khris Middleton,0.121,116872,37984276
Evan Mobley,0.122,51241,8478720
LaMelo Ball,0.122,1079953,8623920
Jaren Jackson Jr.,0.124,230438,28946605
Udoka Azubuike,0.125,8702,2174880
Myles Turner,0.125,129028,35096500
Walker Kessler,0.125,15303,2696400
Alperen Şengün,0.125,92995,3375360
Wendell Carter Jr.,0.126,54004,14150000
Zach LaVine,0.126,606612,37096500
Anthony Edwards,0.126,193792,10733400
Thomas Bryant,0.129,39422,1968175
Mason Plumlee,0.129,0,9080417
T.J. McConnell,0.129,52950,8100000
Bradley Beal,0.129,683240,43279250
Josh Giddey,0.13,100154,6287400
Malcolm Brogdon,0.131,38166,22600000
Robert Williams III,0.131,45,10937502
Mark Williams,0.132,18370,3722040
Desmond Bane,0.132,66652,2130240
Chris Paul,0.132,8459762,28400000
Jrue Holiday,0.132,196810,33665040
Jakob Poeltl,0.133,2082,9398148
Nic Claxton,0.133,16180,8500000
Jarrett Allen,0.133,74950,20000000
Pascal Siakam,0.133,164324,35448672
Jaylen Brown,0.133,793214,28741071
